,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
SIDM00329,0.89247,-0.26164,2.55549,0.14061,-0.74181,-0.74522,-0.28605,-0.36416,-0.37284,-4.41147,-0.06745,-0.17347,2.10105,-0.03546,-0.08479,0.19892,-0.49246,1.34412,0.30703,0.14082,-0.73945,-0.02426,-0.04915,0.4963,0.38058,-0.22105,-0.1173,1.91441,1.04789,0.1879,-0.04476,-0.02819,-0.0126,0.08354,-0.44276,-0.6995,0.06848,-0.29143,0.40588,0.92104,-0.02358,-0.76359,0.09374,0.08539,-0.12047,-0.19704,-0.11974,0.07872,0.0874,0.87822,-0.11013,0.16005,-0.03133,0.23786,-0.02934,-0.18037,-0.0172,0.19814,-0.10884,-0.00479,-0.10003,0.07758,0.2229,0.44006,0.01307,0.12712,0.12012,0.08615,-0.12073,0.00958,-0.3172,-0.12079,0.3013,-0.15369,0.04215,-0.03322,0.13332,-0.10382,-0.05592,-0.2826,0.28031,0.00266,0.15523,0.06531,-0.00329,-0.3647,0.40447,0.15222,0.04553,0.15347,-0.18919,0.0911,-0.0382,-0.14565,-0.00794,-0.01876,0.00683,-0.03198,0.0977,-0.10606
SIDM00327,0.0584,0.34984,1.06271,-0.27806,0.11983,-1.21187,0.04718,-1.15267,-0.38571,-3.73983,-0.13003,-0.17167,2.05801,0.04354,0.14156,-0.07509,0.29319,0.10815,0.33786,-0.19182,-0.50475,0.0668,0.02037,0.13941,-0.26304,0.02695,0.58075,3.19469,0.77709,0.01923,-0.9951,-0.06729,0.0599,0.00467,0.73118,-0.75354,0.21467,-0.04821,0.31167,0.30101,0.10482,-0.50336,0.12518,-0.52389,-0.69667,-0.09958,-0.28241,-0.24882,-0.06216,1.18279,0.20225,-0.02231,0.0342,0.01658,-0.05636,-0.34037,-0.02446,0.03445,-0.07863,0.03965,0.08427,0.43096,0.24687,0.23105,-0.19863,-0.16219,-0.03096,0.28126,0.11464,0.03745,-0.2255,-0.01971,0.05125,-0.21705,0.12698,0.19045,0.43226,0.23581,-0.2243,0.01524,-0.03057,-0.515,-0.01731,0.13281,-0.0042,-0.0656,0.16068,0.11164,-0.11403,-0.02265,-0.13013,-0.05368,-0.11542,0.33053,0.02041,0.13066,0.26742,0.04307,0.02258,0.01738
SIDM00502,1.58031,-1.0362,2.74966,1.09904,-3.13525,0.15303,-0.50745,-0.65733,0.83371,-1.21349,-0.0934,0.06787,1.81744,-0.10382,-0.0462,0.71457,0.45448,1.20551,0.13303,-0.98182,0.56432,-0.18685,-0.1422,0.11406,0.62287,0.14985,-0.11036,-2.97087,0.09965,0.32713,-0.09707,-0.71279,0.03338,0.06992,-0.19744,0.21395,0.26943,0.03967,0.55403,1.81668,0.06993,-0.20507,-0.16317,-0.44897,-0.23613,-0.02018,-0.10932,0.21396,0.16441,-0.12082,-0.0824,-0.11797,0.17342,0.03693,0.17807,0.04661,0.22829,-0.12214,-0.01249,-0.03839,-0.09937,0.23328,-0.06338,0.44393,0.70751,0.31527,0.00505,-0.01377,0.04588,-0.22834,0.04858,-0.0196,0.10454,-0.06134,-0.11522,0.06956,0.10397,0.07445,0.28757,-0.17655,-0.23831,-0.11593,-0.22123,0.23212,-0.15637,0.20743,-0.03435,-0.1609,-0.04354,0.18287,0.03882,-0.16215,0.06456,-0.08688,-0.05886,0.12894,0.13046,-0.1197,0.09336,0.02341
SIDM00793,0.42227,1.19794,-1.04763,-0.19029,-0.43119,0.13643,0.28086,-1.18233,-0.94091,1.00283,-0.00906,-0.25918,0.32224,-0.92185,-0.06985,-0.51396,0.05811,0.45438,-0.12838,0.25383,0.14526,-0.2723,-0.1146,0.23077,0.27464,0.02467,0.28625,0.23807,-0.10147,0.10929,0.50516,0.37195,-0.07657,0.22613,-0.14398,0.15197,-0.08826,0.11224,-0.19821,-0.06792,-0.10782,0.78781,-0.07144,-0.03219,0.26534,-0.11696,-0.0544,0.36312,-0.15957,0.15881,-0.24234,-0.09236,-0.08412,-0.29179,-0.02347,0.13297,0.24106,-0.07059,0.0286,0.08421,-0.11823,0.13026,-0.2751,-0.1823,0.06703,0.03267,0.00321,0.09542,0.06576,-0.02082,0.03334,0.37571,0.06667,0.164,0.03358,0.21906,-0.02725,-0.07267,0.04333,-0.02212,0.05118,0.26431,0.10445,0.09498,-0.24069,-0.07619,-0.05679,-0.31347,-0.1006,-0.08515,0.01572,-0.17971,0.06922,-0.0703,0.12325,0.2368,0.00668,0.00656,-0.04272,-0.00965
SIDM01251,-0.37296,0.02504,1.27587,-0.39218,-0.78175,-0.96252,-0.02489,0.54585,1.80955,-0.12991,0.11119,0.0395,0.41262,0.07005,-0.06992,0.64185,0.39493,-0.33966,0.83431,0.3748,-0.35767,-0.11284,-0.01004,-0.19311,0.1822,-0.27238,0.03364,0.35144,-0.05483,-0.07935,0.19982,0.2853,-0.0747,-0.09974,-0.54098,-0.09045,-0.08454,0.1793,1.12296,-0.06849,-0.02567,-0.03778,0.18635,0.11957,-0.17646,-0.10935,-0.07557,0.10782,-0.34992,0.59403,0.07808,-0.16776,0.32676,0.02099,-0.03816,-0.09493,-0.10806,-0.16469,-0.00261,0.01693,-0.0393,0.04187,0.05828,-0.36617,0.31323,-0.01076,-0.03433,-0.12941,-0.10863,0.11262,-0.11758,0.25131,0.42669,0.06513,0.04684,0.07958,0.14641,0.03006,-0.03521,0.14186,-0.08245,-0.11156,-0.15111,0.039,-0.31605,0.18041,0.04387,0.04103,-0.21881,0.00754,0.09861,0.09448,-0.05634,-0.04757,0.08891,0.23964,0.09682,0.04677,-0.04439,-0.05803
SIDM00441,-0.62525,-1.4126,0.84282,-0.05224,0.68314,0.41743,-0.2711,2.30911,2.14928,-0.04963,0.10173,0.46356,-0.86268,0.12569,0.0731,0.65543,-0.0577,-0.22779,-0.90904,0.12707,-0.51264,0.43075,0.03161,-0.0674,-0.11523,0.11945,-0.22384,-1.37767,-0.07456,0.09435,-0.39787,0.01374,0.04359,-0.23619,-0.22771,0.18888,-0.21189,0.03554,-0.35606,-0.41792,0.10928,-1.27051,-0.04358,-0.06053,0.02723,0.26453,0.01092,-0.25242,-0.21541,0.43839,0.12731,0.04004,0.33378,0.01486,-0.19981,0.23802,0.11407,0.08993,0.15915,0.11569,0.06689,0.06522,-0.86197,0.12565,0.15288,-0.06123,-0.05382,-0.06086,0.27061,0.05248,0.06417,0.15396,0.02496,0.35261,-0.21373,-0.15394,0.01152,-0.09037,0.03317,0.07338,-0.1153,-0.20188,0.00311,0.00198,0.08908,0.27035,0.36941,-0.11165,0.00529,-0.17197,0.14882,0.0348,0.1061,0.00696,-0.10457,-0.05759,0.02531,0.04677,0.03664,-0.0834
SIDM00636,-0.16171,-0.10819,-0.16356,0.39644,-0.48781,-0.41394,0.04161,-0.61267,0.921,0.12011,-0.07813,0.04029,0.38909,-0.05311,0.01043,-0.17959,0.23752,0.17684,0.42595,0.69563,-0.14407,0.32021,0.1144,-0.11569,0.0343,-0.00339,0.03056,1.8397,-0.55876,-0.21957,-0.24113,-0.22523,0.01999,-0.01483,-0.44223,-0.11962,0.38057,0.10208,0.33216,-0.25453,-0.02726,-0.71026,-0.02264,-0.052,0.2997,-0.02814,0.04925,-0.25273,-0.15315,-0.87745,0.05335,0.02758,-0.14249,0.31284,0.00018,0.11855,-0.14828,0.04456,0.06178,0.07811,0.0778,-0.04579,0.33756,-0.90508,0.07435,0.11832,0.00524,0.06985,0.01349,0.01982,0.28102,-0.02408,0.23288,-0.02819,0.03057,-0.07866,-0.13843,0.0324,-0.09417,0.09171,-0.01941,0.21278,-0.03408,-0.02992,0.0477,-0.12227,-0.0824,0.00245,-0.06901,-0.10398,0.095,-0.10967,0.05156,0.0244,-0.14063,-0.03994,-0.05706,0.00288,0.06756,0.0154
SIDM00412,-1.48034,0.91168,-2.3928,-0.0595,1.27649,0.0811,0.47202,-1.39241,-1.74241,1.78895,-0.07606,-0.04011,-0.34588,-0.09996,0.01567,0.014,0.35682,-1.16371,-0.14475,0.23429,-0.04982,0.16784,0.05393,-0.18237,-0.37943,0.04054,0.05993,0.59753,0.03951,-0.26367,0.77917,-0.055,0.0062,-0.00664,0.49922,0.24586,0.03495,0.07412,0.58342,-0.74558,-0.04128,0.26597,0.16134,-0.12343,0.04475,0.33253,-0.25486,0.02481,0.31876,0.2559,0.13353,0.07082,-0.18576,0.0245,-0.04691,-0.16671,0.09422,-0.01907,0.07014,-0.01452,0.05495,0.27391,-0.01289,-0.05737,-0.0494,-0.07105,-0.01932,0.09453,-0.08355,-0.01664,-0.09173,-0.19572,-0.05526,0.13768,0.05254,0.15026,0.02025,0.13739,0.25624,0.13851,-0.04191,0.20432,-0.07498,0.07311,-0.05795,0.00697,0.1413,-0.01128,0.02196,-0.11454,-0.10118,0.01344,-0.0318,0.1591,-0.25526,0.06293,-0.13933,-0.19277,-0.1519,0.13149
SIDM01003,0.70557,0.00861,0.05295,-0.71633,-0.10723,-1.23945,0.00357,1.584,1.58224,1.38066,0.15366,-0.10589,-2.06439,-0.01257,-0.06736,-0.26923,-0.17013,-0.80929,1.71273,-0.28071,-0.07667,0.05488,-0.06159,-0.35308,0.06522,-0.1488,0.14804,-0.3597,-0.21551,-0.07837,0.20095,0.26921,-0.03201,0.14412,0.48034,-0.01297,-0.08102,0.01749,0.89391,-0.32217,-0.09924,-0.06612,0.07047,-0.14512,0.22451,-0.31322,0.10551,0.33025,-0.05418,0.46552,0.00567,-0.01285,-0.1653,-0.08343,0.11729,-0.20494,0.1097,0.08141,-0.06329,0.14283,-0.04069,0.14137,-0.19368,-0.5753,0.24909,0.02212,0.01428,-0.1311,0.06956,0.14048,0.1104,-0.1475,0.1866,0.05596,0.15007,-0.18526,-0.04222,0.02861,0.00257,0.2101,0.09965,0.07303,0.14353,0.0104,-0.13655,-0.0477,0.07637,-0.14811,-0.11954,-0.03198,0.07741,0.08537,-0.09101,0.03494,-0.22948,-0.03652,-0.00886,-0.00367,0.09507,-0.06101
SIDM00495,1.62876,-1.46288,2.81966,1.25431,-3.13743,0.13829,-0.56127,-0.569,0.2643,-2.52601,-0.11296,0.31047,1.33835,0.01526,0.12791,-0.18055,-0.1474,0.55722,0.31531,-1.8873,0.17358,-0.48021,-0.0823,-0.11631,-0.25807,0.12643,0.19318,-2.57035,0.21951,0.3981,0.34531,-0.88774,0.05286,-0.08078,0.52789,0.5946,0.30435,-0.1623,-0.96962,2.2218,0.02867,0.14912,0.04572,0.03744,-0.45254,0.08068,0.03339,0.42352,0.4291,0.00542,-0.05256,-0.20574,0.00298,-0.02969,0.40931,-0.3217,0.63874,-0.04789,-0.23734,-0.34622,-0.18918,-0.13666,-0.03174,0.36394,0.85649,0.05396,-0.10521,-0.18337,0.18363,-0.21991,0.35543,-0.23934,-0.4344,-0.27594,-0.31416,0.2817,-0.01409,0.44954,0.05757,-0.37526,-0.05131,0.37955,0.17534,-0.15679,-0.02141,0.08343,-0.53516,-0.01721,0.1454,0.10067,-0.13791,-0.32634,-0.14669,0.04969,0.16955,-0.2121,-0.13586,-0.13963,0.00452,0.10032
SIDM00423,0.49466,0.7124,-0.95722,-0.03542,0.68212,0.41068,0.18089,-0.91216,-3.93474,0.34667,0.06549,-0.26526,-1.50319,0.04619,-0.02417,-0.07895,-0.6658,0.88327,-0.13923,0.34964,-0.14294,-0.11928,-0.10295,0.81821,0.13335,0.12111,0.09335,-0.129,0.09377,0.65147,-0.3107,0.42274,0.04827,-0.03383,0.18113,-0.08042,0.12868,-0.22527,1.01679,0.35596,0.08923,-0.09407,-0.14317,0.05286,-0.17024,0.00311,0.16945,-0.04372,0.01222,0.23389,0.19287,0.02142,0.08285,0.07734,-0.23169,0.01803,-0.14188,0.13713,-0.13265,0.14451,0.00896,-0.37281,0.00749,0.13334,-0.05391,0.33895,-0.04817,0.0312,-0.00027,0.01707,-0.12522,0.10888,-0.30295,-0.13117,-0.12208,-0.20557,0.03356,-0.03495,-0.2631,0.13119,0.0931,-0.15163,0.03805,-0.29807,0.08493,0.0697,-0.08287,-0.00428,-0.00886,0.20537,-0.11016,0.20656,-0.02827,-0.20454,-0.02065,-0.04778,0.18202,-0.02872,0.13239,0.10176
SIDM01005,-0.6988,-0.22207,-0.2263,-0.90934,1.17965,0.98917,0.00168,1.78664,3.1809,0.36066,0.0137,0.33662,-0.6851,-0.02435,0.01791,-0.55547,-0.01191,-1.01534,-0.67392,-0.46811,-0.36642,-0.20834,-0.0642,-0.48186,-0.16383,0.14683,-0.07461,-0.75366,-0.06696,0.05403,0.11527,0.18437,0.0014,0.04016,0.39032,-0.24577,0.04245,-0.31273,-0.53742,-0.9612,-0.095,-0.10394,-0.05459,-0.31378,-0.08365,0.01039,0.02737,0.01485,0.002,0.22357,-0.09346,0.15946,-0.40609,-0.25527,0.04877,0.13639,-0.12583,-0.30583,0.19992,-0.07346,0.12668,0.19569,0.29849,0.3896,-0.69134,-0.12934,-0.01546,0.09609,-0.06463,-0.13383,-0.21641,0.05721,-0.23463,-0.18017,-0.05983,-0.04446,-0.01705,-0.14384,0.05043,-0.44693,-0.01331,-0.33171,-0.21204,-0.0834,-0.01682,-0.09284,-0.09105,0.01058,0.02022,-0.17588,0.08255,-0.03924,-0.06711,-0.02549,-0.10128,0.16089,-0.07931,-0.10365,-0.08766,0.21107
SIDM00895,0.36408,-0.73258,1.31135,1.14961,-2.15465,-0.43372,-0.42781,-0.64197,0.78654,-1.58106,-0.14544,0.28813,1.74172,-0.04142,0.04831,0.03396,0.30522,0.61343,0.15136,-0.82958,0.06642,0.15193,-0.00991,-0.14067,0.23617,0.39886,-0.20259,-2.10538,0.30216,0.50661,0.51534,-0.81079,-0.04334,-0.00671,-0.15349,0.711,0.46236,-0.06245,-0.93876,1.21414,-0.1043,-0.5915,-0.37985,-0.35571,0.0269,0.04852,-0.11614,0.13062,0.65798,-0.28358,-0.0838,-0.19553,-0.34859,-0.10804,0.16484,0.36732,0.16012,-0.11151,-0.01817,-0.06681,0.01525,0.18575,0.64576,0.85007,0.68216,0.18629,0.00469,0.1116,0.08544,0.01203,0.15114,-0.59698,-0.00807,0.09925,0.02826,0.05178,0.25692,0.10493,-0.11451,-0.19707,-0.12239,0.07743,-0.08252,0.06014,0.26787,0.04121,0.48989,-0.06439,-0.0268,0.01486,-0.10503,-0.10806,-0.00057,0.04958,-0.2356,0.29966,-0.04127,-0.08866,0.0532,0.02747
SIDM01018,1.45232,-0.98137,1.8219,0.58562,-1.95217,-0.26669,-0.19989,-0.49275,-0.03103,-3.71297,-0.11098,-0.18731,1.36687,0.03843,0.11971,0.0376,0.47347,1.23089,0.29554,-0.3498,0.15178,0.05721,-0.01724,0.50455,-0.14494,0.02672,0.04994,3.68425,0.48976,0.49403,-0.28044,0.37884,-0.00264,0.0299,-0.00751,-0.21647,-0.20565,0.0084,0.92019,1.10491,0.21489,-0.69589,0.13658,-0.79084,-0.67507,-0.39578,-0.1888,0.02639,0.14222,0.56582,0.19858,0.00494,-0.07196,-0.15551,-0.04981,0.1467,0.03374,0.08795,0.11961,0.08314,-0.01263,0.36033,-0.11669,0.16539,-0.37286,-0.25199,-0.01789,-0.04393,0.2673,-0.24569,-0.2103,0.25562,0.11182,-0.06685,0.30721,-0.12824,0.11441,-0.20181,-0.24474,-0.17015,0.07959,-0.32917,-0.58711,0.4869,-0.37177,-0.05288,-0.35576,-0.04717,0.11771,0.23178,-0.05013,0.20564,0.17554,0.14943,0.12358,-0.252,0.09987,-0.05822,-0.01112,0.08744
SIDM00145,0.55248,-0.1619,-0.41445,-0.66913,0.28914,-0.86379,-0.1169,1.85285,1.11369,2.12847,0.13134,0.12367,-2.11332,-0.3082,0.02371,-0.23908,0.00886,-1.05001,1.88354,-0.2339,-0.22949,0.18291,0.0586,-0.34106,-0.06179,-0.12499,-0.17238,-0.63561,-0.16396,-0.20797,0.65263,0.06816,0.03573,0.04117,-0.06736,0.0974,-0.3438,0.11177,0.16685,-0.39293,-0.07289,-0.08913,0.01818,-0.24114,0.09727,0.06523,0.19424,-0.15047,-0.10431,0.08928,-0.10577,0.03219,-0.14581,-0.0531,0.13536,-0.03282,-0.04788,-0.01127,-0.00859,0.20982,-0.00172,0.05155,-0.29966,0.01876,0.33176,0.06329,-0.00955,0.03997,0.06182,0.07744,0.14572,0.03671,-0.06583,-0.0214,0.03788,-0.01043,0.08226,-0.00901,-0.12968,0.06161,-0.04859,0.07333,0.09272,-0.02489,0.10936,-0.0797,-0.02389,0.0027,0.00142,0.01395,-0.11499,-0.14325,-0.05548,0.05384,-0.26165,0.14638,-0.10042,0.07376,0.05243,-0.05047
SIDM00594,0.70154,-1.31037,1.63318,-0.12199,-0.3244,2.09601,-0.34587,1.59205,3.43827,-1.98773,-0.04068,0.44547,0.04814,-0.044,-0.01172,0.08432,0.22787,-0.01657,-0.30993,-0.32244,-0.32351,-0.18238,-0.06144,0.23037,-0.08542,0.17322,-0.34272,0.80956,-0.08203,0.1624,0.56029,0.65355,0.04532,-0.18845,-0.21482,-0.06677,-0.18481,0.05243,-0.67933,0.03846,-0.11369,3.64043,0.42042,0.52801,-0.15386,0.09932,0.02451,0.10869,-0.22598,-0.16228,-0.1644,0.22185,-0.0212,0.31718,-0.11699,0.41296,-0.23855,0.24666,-0.03794,-0.01444,-0.03735,-0.30115,0.61132,-0.71537,-0.1399,-0.22825,0.00563,-0.03935,-0.01721,0.0927,-0.02153,-0.07375,-0.28693,0.09877,-0.00605,0.06686,-0.12418,-0.12046,-0.20623,-0.66116,-0.07259,-0.00512,0.17706,-0.00181,-0.29383,0.07432,0.30109,0.09001,-0.04582,0.02766,0.1159,-0.01052,0.0755,-0.2072,0.08343,-0.16966,0.11978,0.20016,-0.07669,0.05788
SIDM00948,-1.27557,1.22434,-2.56685,-0.05249,1.45496,0.15328,0.41036,-1.53902,-3.02296,1.60987,-0.06065,-0.0728,0.05514,0.09017,0.10123,-0.18842,0.20052,-0.5709,-0.14301,0.2576,0.07246,-0.20766,0.08641,0.14277,-0.26887,-0.01757,0.00522,-0.44527,0.0245,-0.0573,0.34451,0.29576,0.00139,0.08047,0.81608,0.02952,0.22902,0.24883,1.30971,-0.25819,0.07662,0.58825,-0.08896,-0.06227,0.09418,-0.04011,-0.21405,0.264,0.18163,0.32139,-0.14033,-0.10419,0.12714,-0.22317,0.0113,-0.15328,-0.01759,0.03299,0.07005,-0.03942,-0.11073,0.09576,-0.16203,-0.42139,0.24473,-0.03542,-0.03043,0.12884,-0.01949,0.08618,-0.02335,0.2623,0.07596,0.39123,0.0042,0.18943,0.10667,0.22218,0.14921,0.08142,0.04915,0.04484,-0.08668,0.08839,0.00111,0.02575,0.06834,-0.25755,0.06786,-0.0653,-0.14542,0.03616,-0.03332,-0.12033,-0.01041,-0.00566,0.02161,0.02709,-0.01709,-0.03522
SIDM00671,-0.2909,0.33134,-0.22691,0.05124,0.40523,0.05676,0.03904,-0.7431,-0.91269,-2.21078,-0.12878,-0.09771,2.09516,-0.13428,0.04675,-0.17478,0.17673,0.098,0.48718,0.093,-0.66252,-0.07393,-0.06434,0.03216,-0.3468,0.05557,0.08074,1.60927,0.52646,0.20792,-0.37055,-0.27162,-0.01006,0.08756,-0.09292,-0.60179,0.06852,-0.00845,0.17707,-0.2657,-0.03166,-0.92389,0.00213,-0.04166,-0.42333,-0.14135,0.28887,-0.16498,0.09279,0.74123,-0.17062,0.05613,0.22302,-0.08387,-0.12894,-0.09115,-0.14555,-0.04462,-0.15312,0.03485,0.01095,0.21946,0.39965,0.30763,-0.22964,-0.30348,0.00777,0.15468,0.07046,0.13252,-0.10936,-0.16124,0.08868,-0.18717,0.1804,0.06981,0.14156,-0.30829,-0.07216,-0.2059,0.03555,-0.3511,-0.39567,-0.04364,-0.30064,-0.48651,0.13133,0.09,0.12461,0.01774,-0.138,-0.05729,0.01735,0.05641,-0.1457,0.00793,0.19413,-0.00768,0.09412,-0.06431
SIDM00233,1.4238,-1.47521,2.49421,1.2543,-2.41895,-1.07717,-0.57279,0.09101,0.25548,-1.40169,-0.17445,0.28891,1.84221,-0.03237,-0.067,1.42667,0.11216,1.50294,0.41079,-0.11393,0.00318,0.31166,-0.07191,0.60557,0.45196,-0.37161,-0.38647,0.13416,0.34421,0.49085,-0.6219,-0.36944,0.0784,0.09402,-0.9342,0.3522,0.18492,-0.33635,0.47413,1.63801,-0.16845,-0.62499,-0.14459,-0.32659,-0.1934,-0.33867,-0.02431,0.01329,0.53219,0.46874,-0.16693,-0.25805,-0.16043,0.03757,0.08964,0.6262,-0.08215,0.07303,-0.08256,0.11909,-0.02827,0.34036,0.10219,-0.39249,0.46052,-0.62537,0.23923,0.07407,-0.12479,-0.12476,0.2843,-0.30675,0.28532,-0.05283,0.10359,-0.04045,0.38015,-0.13834,0.08217,-0.28689,0.00153,0.11867,-0.26552,-0.11296,0.02309,-0.44899,0.55599,-0.18548,-0.09653,-0.16723,0.01042,0.10705,0.09959,-0.04929,-0.22176,-0.09519,0.0568,0.1834,0.06962,-0.03914
SIDM00845,1.04875,0.66329,0.08575,0.22709,-0.51042,1.14717,0.06632,-0.93914,-3.77807,-0.12828,0.1079,-0.32086,-0.83982,0.1335,-0.12705,0.0961,-0.50636,1.1004,-0.15363,0.21059,0.00708,-0.1294,-0.01994,0.82572,0.45382,-0.07975,0.04296,-0.02333,-0.45693,0.23396,-0.16255,0.48701,-0.05811,0.22464,-0.81226,-0.08957,-0.47773,-0.21214,1.03457,1.09138,-0.11683,0.63233,0.01401,-0.13404,0.2579,-0.27464,0.02816,0.24223,-0.09278,0.87579,0.07835,0.03918,-0.00356,-0.01382,-0.14816,0.11097,0.24258,0.04817,-0.05885,-0.25306,0.06772,-0.05142,-0.49212,1.28239,0.31016,0.09893,0.05767,-0.02276,0.03506,-0.18389,-0.05629,-0.06541,-0.21645,-0.16114,-0.01319,0.13188,-0.30997,-0.19247,-0.02939,0.03851,0.20719,0.03932,0.35728,-0.17224,0.14318,0.10528,0.33307,-0.05618,-0.14918,-0.16187,0.2164,0.0361,-0.02683,0.0036,-0.24093,-0.05927,0.03737,0.0133,-0.06084,0.08115
SIDM00949,-0.31193,-0.47267,1.77377,0.49765,-0.62858,0.59933,-0.19184,-0.33414,0.75707,-4.86418,-0.23291,0.06476,2.95416,0.21423,-0.03308,-0.25357,0.17248,0.56935,0.19515,0.66866,-0.49591,0.0719,-0.07233,0.13305,-0.23088,-0.3346,-0.36064,0.99847,1.42821,-0.16176,0.29003,-0.02006,-0.04502,-0.0037,0.55456,-0.42459,0.1093,0.10206,0.87833,-0.30426,0.01575,-0.47379,-0.03784,-0.12811,0.95986,0.0456,-0.08597,0.19515,0.02199,-0.81074,-0.13113,0.36429,-0.22768,-0.05203,-0.24371,0.18212,0.10953,0.12659,0.0991,-0.07491,-0.11181,-0.25214,-0.41822,0.26927,-0.0971,0.31405,-0.04803,-0.25943,-0.19618,0.21638,0.2065,0.0702,-0.01694,0.13416,0.06699,0.03303,-0.18667,0.25944,-0.02343,0.26144,0.09687,0.32237,-0.06559,-0.14777,0.06536,0.02705,-0.26317,-0.06929,0.03037,0.04722,-0.12031,0.07492,0.06262,-0.10304,0.09335,0.00986,-0.09844,0.06737,-0.02772,0.01082
SIDM00087,0.31975,-0.341,1.30186,0.80631,-2.47541,-0.00258,-0.19372,-0.71073,1.64651,-0.08276,0.06261,0.00958,1.69553,-0.12219,0.06841,0.60821,0.42783,0.60438,-0.0065,-0.92352,0.70314,-0.104,0.02613,-0.38008,0.22564,-0.01559,-0.07049,-2.46819,-0.08831,-0.31813,-0.08914,-0.57961,-0.02791,0.11461,-0.30182,-0.00337,0.19725,0.13984,-1.31953,1.05265,0.15364,-0.04153,-0.10088,0.15773,-0.12765,-0.09853,-0.02309,-0.19506,0.11281,0.06109,-0.44894,0.03373,0.67513,-0.16988,0.01988,0.02256,0.08492,-0.08641,0.00621,-0.28451,-0.06151,0.07532,0.06041,0.11984,-0.24386,0.27657,0.01894,0.10003,0.18344,-0.0804,0.02628,0.08439,-0.12032,-0.50312,0.01445,0.38059,0.10604,-0.17061,0.0217,-0.01396,0.0269,-0.06596,-0.30013,0.33423,-0.20992,-0.25586,-0.6166,0.06686,-0.12768,-0.06991,0.09661,0.24205,-0.07096,0.12983,-0.01269,-0.06654,-0.05709,-0.07859,-0.00189,0.0904
SIDM01004,0.16891,-1.05698,0.99764,-0.2644,0.5396,-0.63403,-0.29655,1.65894,2.81527,-1.05926,-0.02936,0.35856,0.30639,-0.29561,0.02073,-0.32073,0.39381,-0.83565,-0.31733,0.064,-0.0266,-0.27874,-0.03328,-0.18848,-0.53596,-0.12139,-0.19466,-0.31563,0.12999,0.12913,-0.49903,0.23893,0.06968,-0.20291,-0.78672,0.35668,0.07896,0.16885,0.12165,-0.81068,0.03235,0.94175,0.20347,0.0052,-0.00629,-0.14029,0.08446,-0.01961,-0.12037,-0.8046,-0.12341,0.32331,0.18215,0.10382,-0.2646,0.07515,-0.45456,-0.18646,0.18964,-0.05152,0.08244,0.3086,0.25907,0.11512,-0.27474,0.23264,0.06053,-0.2297,-0.07644,0.13467,0.16658,-0.13757,0.11433,0.17212,0.2067,-0.00281,-0.24738,-0.03521,-0.06026,0.34892,-0.00831,-0.32708,-0.23894,-0.01211,-0.0777,0.28281,-0.1672,0.16932,0.0635,0.03554,-0.09325,0.03711,0.06502,-0.09132,0.13696,-0.04385,0.13458,0.20809,-0.11666,0.01707
SIDM00413,-1.18618,1.22704,-2.42267,0.2732,0.88438,-0.69914,0.48912,-1.79979,-3.15323,1.66012,-0.1255,-0.17316,0.39351,-0.13816,0.01187,0.07375,0.48765,-1.05131,-0.22258,0.43441,-0.09724,0.01327,-0.09448,-0.10134,-0.43155,0.01273,0.16448,0.15942,-0.1431,-0.10356,-0.23391,0.15978,0.04243,-0.11575,0.12507,0.13668,-0.14252,0.17637,-0.10211,-0.39686,0.09368,0.60907,0.20471,-0.08412,0.14731,0.25212,-0.42596,-0.19614,0.23917,0.83895,0.03399,0.26751,0.23033,-0.35797,-0.08399,0.15152,0.14618,0.04499,-0.08793,-0.07421,0.20534,0.30795,-0.28432,-0.13992,-0.18969,-0.39194,-0.00683,-0.16921,0.06322,0.12833,-0.12869,-0.24373,-0.04596,-0.19628,0.04978,0.19995,-0.23794,0.03898,0.17501,-0.04302,0.15107,0.02199,-0.1188,-0.27406,0.19335,0.09328,0.29602,0.04696,0.02619,0.05601,0.01792,0.23779,-0.10278,0.04451,0.26896,0.2725,0.25486,-0.08542,-0.20088,-0.09938
