,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
SIDM01171,2.52927,-2.17276,1.1345,0.45871,0.21878,-1.6874,-0.14316,0.77687,-1.46849,-0.00865,0.32986,-0.72112,1.10713,0.33069,0.10249,0.55538,0.30735,-0.5282,-0.05224,1.02188,0.21386,0.17579,0.17523,0.00168,0.04031,-0.03936,-0.09891,0.3901,0.02807,-0.4647,0.2961,-0.05494,0.07495,0.12631,0.09089,0.12343,0.17886,-0.04963,0.87061,-1.12104,-0.09452,0.0019,-0.19143,0.01963,-0.17937,0.244,-0.0322,-0.01622,-0.15359,0.12826,-0.2108,0.33937,0.74665,0.23598,-0.15331,0.25109,-0.0162,0.24169,-0.14748,-0.00501,-0.25915,-0.03645,-0.56577,0.12265,0.02105,0.52346,0.02176,0.07252,0.18661,0.02321,0.10309,-0.08267,-0.03224,-0.26244,0.13601,0.0412,-0.0771,-0.11041,-0.00693,-0.06634,-0.09515,0.22766,-0.2599,-0.02416,-0.04409,-0.46823,-0.11268,0.24986,0.09216,-0.06004,-0.04599,-0.02378,0.11536,-0.06404,-0.03192,0.07899,-0.02514,0.09276,0.10698,-0.07668
SIDM00939,-2.54596,0.49678,1.41409,-0.11038,-0.75559,0.93194,0.03773,0.18704,-1.20367,0.76274,-0.01207,0.54086,-0.82127,0.29375,-0.43397,0.38382,0.25015,-0.16545,-0.00976,-0.29952,-0.04349,-0.12208,0.19939,-0.11558,0.20639,-0.2475,-0.07609,0.8063,-0.03718,-0.66558,-0.04947,-0.51602,-0.37511,-0.02066,-0.49313,0.13988,-0.12516,0.09103,-1.03734,-0.34241,0.14179,0.01269,0.11815,2.17065,-0.16495,-0.16817,0.11007,-0.20307,0.0368,-0.20441,-1.0371,0.1109,-0.05899,-0.17184,-0.04958,0.05961,-0.06194,0.02978,0.2424,0.15108,-0.17706,0.23186,-0.20566,0.1162,-0.48262,0.16911,0.08457,0.08592,0.06499,0.2614,-0.12178,-0.00344,-0.20005,-0.02454,-0.17316,0.22444,-0.54726,0.13608,0.01071,-0.00568,0.14085,-0.32627,0.07065,-0.01153,0.04354,0.04806,0.25228,-0.30717,0.08913,0.00575,0.05826,-0.12903,0.04457,0.03846,0.03093,-0.17956,0.04853,0.34189,0.09759,0.33673
SIDM01246,3.96236,-0.27847,-1.63219,-0.13564,-0.23122,-0.21075,-0.43704,1.15741,-0.66532,2.99854,-0.55539,0.37241,0.42269,-6.09433,-0.08165,-1.32637,0.35133,0.5292,-0.04026,1.11001,-0.01027,-0.06981,-0.13564,0.17746,0.49432,0.06214,-0.11815,-0.52606,-0.00628,-0.06103,0.09189,-0.22867,0.06292,-0.28538,-0.263,-0.42263,-0.2252,0.174,0.6057,0.86952,0.01925,-0.02687,-0.05257,0.10081,0.15678,-0.30451,0.03072,-0.05918,0.34501,0.93138,-0.09064,-0.10007,0.37325,0.28673,-0.08168,0.29362,0.27262,-0.11419,0.09998,0.12933,-0.22063,-0.09982,0.55442,-0.02679,-0.25969,0.52515,0.03147,0.168,-0.40851,0.20377,0.26664,-0.06024,-0.41317,-0.04533,-0.15129,0.19054,0.22764,-0.00737,-0.09861,-0.13091,0.06396,-0.19262,0.03368,-0.02479,-0.26781,0.5477,0.12313,0.08719,0.07396,-0.08335,0.0399,0.08073,-0.06501,-0.09014,0.10478,0.02956,0.1434,0.03367,0.1464,-0.02784
SIDM00349,-1.34276,0.57616,1.86786,-0.31131,-2.26833,-0.26361,0.38213,0.30464,-1.1373,0.07039,-0.25774,0.02108,-0.28848,0.05764,0.10472,0.01139,-0.38282,-0.66856,0.01476,0.74427,-0.18774,0.15526,0.09615,0.16911,0.04836,0.04432,0.02218,-0.86215,0.01173,0.19919,0.07995,-0.2848,0.19724,-0.08918,0.57549,-0.02514,0.18996,0.45874,-0.83297,0.15005,0.02821,-0.16713,0.28328,-0.1069,-0.09456,-0.27759,-0.02845,-0.41759,0.03683,-0.19424,-0.24281,-0.21324,-0.28982,-0.06437,-0.09917,-0.23044,0.5162,-0.04292,0.12968,0.18361,0.01534,-0.1242,0.02412,0.40781,-0.05278,-0.59231,0.07176,0.24848,-0.17723,-0.54432,-0.00674,0.18781,0.05784,-0.14601,0.1997,-0.01846,-0.09394,0.60392,-0.04041,-0.20248,-0.02934,0.0616,-0.0996,-0.1556,0.16012,-0.20458,0.04047,0.04995,-0.00116,-0.06303,-0.11161,0.13435,-0.05598,0.11198,0.06942,0.07568,0.08434,0.15996,-0.04073,0.1269
SIDM00666,3.15192,-2.17081,-0.13581,1.07893,-1.07593,0.0488,-0.01091,0.06755,-0.01177,1.87311,0.34291,-0.59614,0.89701,-0.38809,-0.11399,-0.22606,-0.19765,0.059,-0.01759,0.67055,-0.17009,-0.00287,0.38065,0.07142,-0.12085,0.02357,0.08284,-0.07855,-0.01444,-0.14107,-0.56101,0.53179,-0.04955,0.02952,0.34854,-0.15185,-0.1769,-0.07105,-0.18981,-0.99349,-0.20729,-0.09273,-0.08283,-0.07731,-0.08674,0.30369,-0.0894,-0.10053,0.3299,0.16776,-0.11481,-0.07996,-0.10659,0.12905,0.15794,0.35926,0.13708,0.0871,0.01737,-0.06207,-0.04326,-0.24066,0.05289,0.99378,-0.24874,0.61852,-0.07747,-0.12859,0.22123,-0.0585,-0.05794,-0.00448,0.22974,0.11942,-0.07734,-0.03401,0.0228,0.16278,-0.00196,-0.03133,0.06691,-0.14733,0.138,0.12419,-0.05738,-0.08177,-0.07834,0.02779,0.02681,0.03477,-0.11475,-0.09703,-0.24657,0.08684,-0.06123,0.16664,-0.02385,-0.15219,0.09979,-0.04925
SIDM01123,0.75836,1.61292,-2.33638,-0.36174,-1.59036,-0.1682,0.1159,-0.3578,1.07892,-1.4517,0.85864,0.10481,-0.43611,-0.42136,-0.00135,0.73071,0.01874,-0.27168,-0.02635,-0.43045,-0.10436,0.0071,-0.07016,-0.13602,0.13697,0.12071,0.10828,-0.49602,0.05972,-0.74199,0.1295,0.47954,0.05022,-0.0435,-0.28602,0.09105,-0.15135,-0.20121,0.02642,0.76628,0.36033,-0.05163,-0.17836,-1.07524,-0.10465,0.0242,-0.39616,0.32614,-0.00022,-0.15312,-0.13717,0.0876,0.20721,0.13826,-0.1107,-0.50221,-0.2,-0.02988,-0.07062,0.12746,0.12355,-0.56437,0.19781,0.00967,0.10824,-0.34541,-0.01733,0.15836,-0.01178,-0.0547,0.2444,0.10024,-0.36497,0.00867,0.00435,-0.31961,-0.08141,-0.52337,-0.35745,0.47011,0.20428,-0.021,-0.14227,-0.08458,0.23634,-0.44316,0.32932,-0.25828,-0.15308,-0.02322,0.11578,-0.03843,0.28641,0.00808,-0.18128,-0.11166,0.10246,0.05588,0.11428,0.03812
SIDM00056,1.18451,-2.30407,0.65982,0.97127,-0.17804,-1.74107,-0.01094,-0.2385,-0.60064,-0.82747,0.04116,0.21274,-2.10969,-0.44017,-0.12301,-0.71979,0.20082,-0.47277,-0.03293,-1.42135,-0.11092,0.56387,-0.14636,0.10276,0.22468,-0.5737,0.28089,-0.26339,-0.01445,0.68012,-0.16582,1.1425,0.02741,0.33243,-0.56215,-0.65541,-0.03837,-0.02742,0.58998,-1.13336,-0.07193,-0.06808,-0.13168,0.22657,0.07593,-0.03338,0.01799,0.10876,-0.04824,-0.52216,0.51718,0.09294,-0.14371,0.11421,0.08422,0.03157,-0.45721,0.15497,-0.07562,-0.02843,0.15303,-0.21032,0.10635,0.9784,0.05124,-0.58193,0.00205,0.04049,0.36737,0.20552,0.04145,-0.06422,-0.18819,0.00128,-0.20215,0.113,0.01044,-0.08719,0.20708,-0.15385,0.04233,-0.09838,0.22104,0.24248,0.20152,0.20261,0.15191,0.02925,0.28736,0.0241,-0.20111,-0.04208,-0.00503,0.03118,-0.09491,-0.1949,-0.31043,-0.10931,0.10795,-0.10665
SIDM00183,3.40649,1.60501,-4.41478,-0.35846,-1.77419,-0.0202,0.10694,0.2566,0.44888,-2.31595,0.09365,0.22935,-0.28844,0.456,0.08348,0.45302,-0.26073,0.15753,0.0207,-0.79034,0.1371,-0.14271,0.12976,-0.23326,0.12442,-0.12996,-0.19383,0.17613,0.03659,0.67043,0.62364,-1.29559,0.02888,0.21525,-0.4899,0.24166,-0.17327,0.2681,0.19851,0.39627,0.01002,0.04996,0.12594,0.19553,0.06872,-0.07084,-0.07951,-0.15542,-0.13612,0.38188,0.92487,0.21713,-0.08961,-0.10764,-0.28433,0.87596,0.02923,0.02628,0.11915,0.07425,0.19061,0.04034,0.03475,0.24473,0.30448,0.24891,-0.01756,0.12733,0.34486,0.27806,-0.18092,-0.02408,-0.01246,-0.10804,-0.35103,-0.00308,-0.08667,0.12481,0.05192,0.02563,-0.11754,0.17594,0.00019,0.07383,-0.14776,-0.20569,-0.03714,-0.07683,-0.07666,0.00519,0.16215,-0.02227,-0.0338,0.13376,-0.10907,-0.06447,-0.08646,-0.03971,-0.05199,0.02159
SIDM00088,-0.86567,-0.10017,0.70057,0.38945,-0.69262,0.76305,-0.16478,-0.10343,-0.37169,0.1845,0.21536,0.26696,0.67434,-0.45516,-0.2709,-0.6562,0.09255,-0.5636,0.03267,-0.40299,0.11029,0.00465,0.06706,-0.11502,0.17746,-0.26507,-0.18198,-0.32039,0.00605,0.26888,-0.0577,0.89859,-0.06998,0.20599,0.0093,0.0433,0.20981,0.05694,0.21949,-0.09841,-0.04004,-0.05045,0.28635,-0.21331,0.1165,-0.05716,0.13319,-0.21362,0.16037,-0.44772,0.03144,-0.01299,0.26612,-0.26099,-0.17572,0.41074,-0.08897,0.00173,-0.14789,0.02256,0.05232,0.46365,0.21829,-0.44032,-0.14529,-0.11046,0.07962,0.19539,0.0277,0.00124,0.05259,-0.11143,0.19942,0.13696,-0.01371,-0.07312,0.41312,0.03808,-0.20956,0.04143,-0.16124,-0.01312,-0.05021,-0.28527,-0.08301,-0.16104,-0.03157,-0.09694,-0.17665,0.14393,-0.09957,-0.18501,0.05091,0.05985,-0.03787,-0.1165,0.10681,0.14494,0.07704,0.05088
SIDM00264,2.99806,0.0919,-0.34904,-0.51423,0.94552,0.95356,-0.28942,0.35854,-0.25478,1.52756,-0.38401,-0.13335,1.09621,-4.89608,-0.16339,-1.11528,0.35232,0.44325,-0.06607,0.86466,0.05817,0.48791,-0.12335,0.00858,0.26096,-0.07142,-0.19729,-0.1901,0.0367,-1.01348,-0.0036,0.16727,0.14357,-0.09654,-0.18666,0.01463,0.13579,0.11042,0.17413,-0.07131,0.31038,0.05516,0.11802,0.47101,-0.09609,0.08252,0.29125,0.15984,-0.10666,-0.0367,-0.84448,-0.11885,0.50033,0.23829,-0.30029,-0.18386,-0.17079,0.05219,0.16067,-0.06056,0.0502,0.07388,-0.22466,0.2704,0.35206,-0.10424,-0.00976,0.01094,-0.02952,0.1409,0.0135,0.07964,-0.24874,-0.07402,-0.16645,-0.35075,0.16933,0.11509,-0.01649,0.34399,-0.00561,0.2716,0.10894,-0.34631,0.26564,-0.24567,0.23179,0.14687,-0.00417,0.0861,0.32961,-0.04225,0.01294,0.00876,0.0515,-0.04357,-0.1399,-0.07506,0.1068,0.05432
