Cell_line	Replicate	Rep
LNCaP-Clone-FGC	3	2
LNZTA3WT4	1	2
LNZTA3WT4	2	2
LNZTA3WT4	3	2
LOU-NH91	1	2
LOU-NH91	2	2
LOU-NH91	3	2
LOUCY	1	2
LOUCY	2	2
LOUCY	3	2
LOXIMVI	1	2
LOXIMVI	2	2
LOXIMVI	3	2
LP-1	1	2
LP-1	2	2
LP-1	3	2
LS-123	1	2
LS-123	2	2
LS-123	3	2
LS-180	1	2
LS-180	2	2
LS-180	3	2
LS-411N	1	2
LS-411N	2	2
LS-411N	3	2
LS-513	1	2
LS-513	2	2
LS-513	3	2
LS1034	1	2
LS1034	2	2
LS1034	3	2
LU-134-A	1	2
LU-134-A	2	2
LU-134-A	3	2
LU-135	1	2
LU-135	2	2
LU-135	3	2
LU-139	1	2
LU-139	2	2
LU-139	3	2
LU-165	1	2
LU-165	2	2
LU-165	3	2
LU-65	1	2
LU-65	2	2
LU-65	3	2
LU-99A	1	2
LU-99A	2	2
LU-99A	3	2
LXF-289	1	2
LXF-289	2	2
LXF-289	3	2
LoVo	1	2
LoVo	2	2
LoVo	3	2
M059J	1	2
M059J	2	2
M059J	3	2
MC-CAR	1	2
MC-CAR	2	2
MC-CAR	3	2
MC-IXC	1	2
